Stu Strm Ldesc,Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Fall 2016,L&S,Italian, 103,Course Total,Course Total,109,100,91.7%,3.025,34,9,7,8,8,9,7,3,2,1,,5,5,,,7
Fall 2016,L&S,Italian, 145,001,"Iaquinta,Mary A",41,40,97.6%,3.826,31,5,,2,1,,1,,,,,,1,,,
Fall 2016,L&S,Italian, 145,002,"Celi,Christopher C",40,36,90.0%,3.111,9,4,7,8,3,2,,,1,,,2,3,,,
Fall 2016,L&S,Italian, 145,003,"Celi,Christopher C",41,39,95.1%,3.232,11,9,3,7,4,2,1,,,,1,1,1,,,
Fall 2016,L&S,Italian, 145,004,"Celi,Christopher C",40,39,97.5%,3.377,10,5,11,6,5,,1,,,,,,1,,,1
Fall 2016,L&S,Italian, 145,Course Total,Course Total,162,154,95.1%,3.395,61,23,21,23,13,4,3,,1,,1,3,6,,,1
Fall 2016,L&S,Italian, 203,001,"Pessarelli,Claudia",18,18,100.0%,2.941,5,2,1,2,1,2,3,,,,,1,,,,1
Fall 2016,L&S,Italian, 203,002,"Iaquinta,Mary A",16,16,100.0%,3.600,7,2,3,2,1,,,,,,,,,,,1
Fall 2016,L&S,Italian, 203,Course Total,Course Total,34,34,100.0%,3.250,12,4,4,4,2,2,3,,,,,1,,,,2
Fall 2016,L&S,Italian, 245,002,"Pickering-Iazzi,R",22,19,86.4%,3.039,7,,1,2,3,1,2,,,,,1,1,,,2
Fall 2016,L&S,Italian, 245,Course Total,Course Total,22,19,86.4%,3.039,7,,1,2,3,1,2,,,,,1,1,,,2
Fall 2016,L&S,Italian, 256,001,"Milli Konewko,Simonetta",27,26,96.3%,3.231,6,7,4,4,1,1,2,,,,,1,,,,
Fall 2016,L&S,Italian, 256,002,"Milli Konewko,Simonetta",26,23,88.5%,3.160,2,6,4,4,5,,2,,,,,,,,,
Fall 2016,L&S,Italian, 256,Course Total,Course Total,53,49,92.5%,3.198,8,13,8,8,6,1,4,,,,,1,,,,
Fall 2016,L&S,Italian, 311,001,"Pickering-Iazzi,R",11,11,100.0%,3.334,2,3,1,,,1,1,,,,,,,,,3
Fall 2016,L&S,Italian, 311,Course Total,Course Total,11,11,100.0%,3.334,2,3,1,,,1,1,,,,,,,,,3
Fall 2016,L&S,Japanese, 100,001,"Quinn,Aragorn",22,19,86.4%,3.178,4,2,2,3,1,1,1,1,,,,,1,1,,3
Fall 2016,L&S,Japanese, 100,Course Total,Course Total,22,19,86.4%,3.178,4,2,2,3,1,1,1,1,,,,,1,1,,3
Fall 2016,L&S,Japanese, 101,001,"Borgmann,Atsuko Suga",27,24,88.9%,1.909,2,3,2,1,,2,1,1,1,3,1,5,3,1,,1
Fall 2016,L&S,Japanese, 101,002,"Borgmann,Atsuko Suga",22,19,86.4%,3.036,4,5,,5,1,1,,2,,,,1,1,,,
Fall 2016,L&S,Japanese, 101,003,"Seo,Sueyon",16,16,100.0%,2.625,4,,3,2,1,,2,1,,1,1,1,,,,
Fall 2016,L&S,Japanese, 101,Course Total,Course Total,65,59,90.8%,2.486,10,8,5,8,2,3,3,4,1,4,2,7,4,1,,1
Fall 2016,L&S,Japanese, 102,001,"Takahashi,Shinji",14,14,100.0%,2.000,1,,1,2,1,,4,1,1,1,,2,,,,
Fall 2016,L&S,Japanese, 102,Course Total,Course Total,14,14,100.0%,2.000,1,,1,2,1,,4,1,1,1,,2,,,,
Fall 2016,L&S,Japanese, 201,001,"Seo,Sueyon",20,20,100.0%,2.755,6,2,,4,3,,,,,1,,3,,1,,
Fall 2016,L&S,Japanese, 201,Course Total,Course Total,20,20,100.0%,2.755,6,2,,4,3,,,,,1,,3,,1,,
Fall 2016,L&S,Japanese, 301,001,"Takahashi,Shinji",10,8,80.0%,1.709,,,1,,,1,2,2,,,1,1,1,,,
Fall 2016,L&S,Japanese, 301,Course Total,Course Total,10,8,80.0%,1.709,,,1,,,1,2,2,,,1,1,1,,,
Fall 2016,L&S,Japanese, 310,201,"Wert,Yuko Kojima",7,5,71.4%,2.557,1,1,,,,,,,,,,1,,,,2
Fall 2016,L&S,Japanese, 310,Course Total,Course Total,7,5,71.4%,2.557,1,1,,,,,,,,,,1,,,,2
Fall 2016,L&S,Japanese, 331,201,"Lackey,Masako K",12,10,83.3%,2.500,3,,,3,,,2,,,,,2,,,,
Fall 2016,L&S,Japanese, 331,Course Total,Course Total,12,10,83.3%,2.500,3,,,3,,,2,,,,,2,,,,
Fall 2016,L&S,Japanese, 401,001,"Lackey,Masako K",15,15,100.0%,3.072,6,2,1,1,1,,,1,,1,,1,,,,1
Fall 2016,L&S,Japanese, 401,Course Total,Course Total,15,15,100.0%,3.072,6,2,1,1,1,,,1,,1,,1,,,,1
Fall 2016,L&S,Japanese, 441,201,"Borgmann,Atsuko Suga",6,6,100.0%,1.868,,1,1,,,,,1,,,1,1,,,,1
Fall 2016,L&S,Japanese, 441,Course Total,Course Total,6,6,100.0%,1.868,,1,1,,,,,1,,,1,1,,,,1
Fall 2016,L&S,Japanese, 499,001,"Quinn,Aragorn",8,7,87.5%,3.734,4,,,,1,,,,,,,,1,,,2
